CPUID:,0x600F12
Processor:,AMD FX-6100 Six-Core (Zambezi) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-B2
Lithography:,32nm

Session start:,01:15:54 - April 02 - 2016

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
01:16:04 04/02/16,67,67,67,67,67,67,,,65,69,26,3606.17,,65,69,4,3606.17,,65,69,79,3906.68,,65,69,0,3606.17,,65,69,9,3606.17,,65,69,3,3606.17,
01:16:14 04/02/16,67,67,67,67,67,67,,,64,69,21,3606.17,,64,69,0,3606.17,,64,69,74,3606.17,,64,69,0,3606.17,,64,69,9,3606.17,,64,69,0,3606.17,
01:16:24 04/02/16,67,67,67,67,67,67,,,64,69,23,3606.17,,64,69,0,3606.17,,64,69,72,3305.65,,64,69,0,3305.65,,64,69,10,3305.65,,64,69,0,3606.17,
01:16:34 04/02/16,68,68,68,68,68,68,,,64,69,22,3606.17,,64,69,0,3606.17,,64,69,85,3606.17,,64,69,0,3606.17,,64,69,8,3606.17,,64,69,0,3606.17,
01:16:44 04/02/16,68,68,68,68,68,68,,,64,69,17,3606.17,,64,69,0,3606.17,,64,69,84,3606.17,,64,69,0,3606.17,,64,69,4,3606.17,,64,69,0,3606.17,
01:16:54 04/02/16,67,67,67,67,67,67,,,64,69,37,3606.17,,64,69,0,3606.17,,64,69,64,3606.17,,64,69,0,3606.17,,64,69,1,3606.17,,64,69,0,3606.17,
01:17:04 04/02/16,68,68,68,68,68,68,,,64,69,34,3606.17,,64,69,0,3606.17,,64,69,71,3606.17,,64,69,0,3606.17,,64,69,6,3606.17,,64,69,0,3606.17,
01:17:14 04/02/16,67,67,67,67,67,67,,,64,69,28,3606.17,,64,69,0,3606.17,,64,69,69,3906.68,,64,69,0,3606.17,,64,69,3,3606.17,,64,69,1,3305.65,
01:17:24 04/02/16,67,67,67,67,67,67,,,64,69,28,3606.17,,64,69,0,3606.17,,64,69,72,3606.17,,64,69,1,3606.17,,64,69,13,3606.17,,64,69,0,3606.17,
01:17:34 04/02/16,69,69,68,68,68,68,,,64,69,99,3305.65,,64,69,19,3305.65,,64,69,80,3606.17,,64,69,4,3606.17,,64,69,7,3606.17,,64,69,1,3606.17,
01:17:44 04/02/16,67,67,67,67,67,67,,,64,69,90,3606.17,,64,69,12,3305.65,,64,69,92,3606.17,,64,69,0,3606.17,,64,69,9,3606.17,,64,69,0,3606.17,
01:17:54 04/02/16,67,67,67,67,67,67,,,64,69,72,3606.17,,64,69,34,3606.17,,64,69,69,3606.17,,64,69,0,3606.17,,64,69,11,3305.65,,64,69,0,3305.65,
01:18:04 04/02/16,67,67,67,67,67,67,,,64,69,74,3606.17,,64,69,0,3606.17,,64,69,39,3305.65,,64,69,0,3305.65,,64,69,20,3305.65,,64,69,2,3305.65,
01:18:14 04/02/16,68,68,68,68,68,68,,,64,69,54,3305.65,,64,69,85,3305.65,,64,69,81,3606.17,,64,69,8,3305.65,,64,69,45,3305.65,,64,69,2,3305.65,
01:18:24 04/02/16,66,66,66,66,66,66,,,64,69,52,3606.17,,64,69,0,3606.17,,64,69,46,3305.65,,64,69,0,3305.65,,64,69,14,3305.65,,64,69,2,3305.65,
01:18:34 04/02/16,66,66,66,66,66,66,,,64,69,51,3305.65,,64,69,25,3305.65,,64,69,54,3305.65,,64,69,0,3305.65,,64,69,29,3305.65,,64,69,0,3305.65,
01:18:44 04/02/16,69,69,69,69,69,69,,,64,69,91,3606.17,,64,69,0,3606.17,,64,69,56,3606.17,,64,69,0,3305.65,,64,69,0,3305.65,,64,69,33,3305.65,
01:18:54 04/02/16,67,67,67,67,67,67,,,64,69,78,3305.65,,64,69,2,3305.65,,64,69,35,3305.65,,64,69,0,3305.65,,64,69,0,3305.65,,64,69,15,3305.65,
01:19:04 04/02/16,68,68,68,68,68,68,,,64,69,65,3305.65,,64,69,34,3305.65,,64,69,61,3305.65,,64,69,8,3305.65,,64,69,0,3606.17,,64,69,45,3606.17,
01:19:14 04/02/16,67,67,67,67,67,67,,,64,69,29,3606.17,,64,69,80,3606.17,,64,69,71,3606.17,,64,69,13,3305.65,,64,69,38,3606.17,,64,69,1,3606.17,
01:19:24 04/02/16,69,69,69,69,69,69,,,64,69,60,3305.65,,64,69,83,3606.17,,64,69,75,3606.17,,64,69,0,3305.65,,64,69,60,3305.65,,64,69,0,3305.65,
01:19:34 04/02/16,69,69,69,69,69,69,,,64,69,54,3305.65,,64,69,85,3606.17,,64,69,66,3606.17,,64,69,0,3305.65,,64,69,58,3305.65,,64,69,4,3305.65,
01:19:44 04/02/16,68,68,68,68,68,68,,,64,69,43,3305.65,,64,69,72,3305.65,,64,69,69,3305.65,,64,69,16,3305.65,,64,69,72,3606.17,,64,69,0,3606.17,
01:19:54 04/02/16,68,68,68,68,68,68,,,64,69,38,3305.65,,64,69,86,3305.65,,64,69,80,3305.65,,64,69,25,3305.65,,64,69,61,3606.17,,64,69,1,3606.17,
01:20:04 04/02/16,68,68,68,68,68,68,,,59,69,43,3606.17,,59,69,68,3305.65,,59,69,72,3305.65,,59,69,28,3305.65,,59,69,60,3305.65,,59,69,3,3305.65,
01:20:14 04/02/16,68,68,68,68,68,68,,,59,69,29,3305.65,,59,69,79,3606.17,,59,69,77,3305.65,,59,69,22,3305.65,,59,69,58,3305.65,,59,69,0,3305.65,
01:20:24 04/02/16,64,64,64,64,64,64,,,59,69,42,3305.65,,59,69,72,3305.65,,59,69,68,3305.65,,59,69,24,3305.65,,59,69,69,3606.17,,59,69,0,3606.17,
01:20:34 04/02/16,68,68,68,68,68,68,,,59,69,48,3305.65,,59,69,72,3305.65,,59,69,74,3305.65,,59,69,18,3606.17,,59,69,65,3606.17,,59,69,0,3606.17,
01:20:44 04/02/16,66,66,66,65,65,65,,,59,69,54,1402.40,,59,69,83,1402.40,,59,69,74,1402.40,,59,69,31,1402.40,,59,69,65,1402.40,,59,69,0,1402.40,
01:20:54 04/02/16,69,69,69,69,69,69,,,59,69,57,3305.65,,59,69,89,3606.17,,59,69,73,3606.17,,59,69,1,3606.17,,59,69,56,3606.17,,59,69,2,3606.17,
01:21:04 04/02/16,69,69,69,69,69,69,,,59,69,65,3305.65,,59,69,89,3305.65,,59,69,72,3606.17,,59,69,3,3606.17,,59,69,46,3305.65,,59,69,0,3305.65,
01:21:14 04/02/16,65,65,65,65,65,65,,,59,69,60,1402.40,,59,69,75,1402.40,,59,69,82,1402.40,,59,69,37,1402.40,,59,69,45,1402.40,,59,69,0,1402.40,
01:21:24 04/02/16,68,68,68,68,68,68,,,59,69,55,3305.65,,59,69,83,3305.65,,59,69,63,3305.65,,59,69,0,3305.65,,59,69,55,3305.65,,59,69,0,3305.65,
01:21:34 04/02/16,68,68,68,68,68,68,,,59,69,62,3305.65,,59,69,74,3305.65,,59,69,72,3305.65,,59,69,0,3305.65,,59,69,63,3305.65,,59,69,0,3305.65,
01:21:44 04/02/16,59,59,59,59,59,59,,,59,69,63,1402.40,,59,69,80,1402.40,,59,69,76,1402.40,,59,69,47,1402.40,,59,69,60,1402.40,,59,69,0,1402.40,
01:21:54 04/02/16,68,68,68,68,68,68,,,59,69,57,3305.65,,59,69,81,3606.17,,59,69,75,3305.65,,59,69,17,3305.65,,59,69,61,3305.65,,59,69,3,3305.65,
01:22:04 04/02/16,68,68,68,68,68,68,,,59,69,55,3305.65,,59,69,83,3606.17,,59,69,72,3606.17,,59,69,23,3305.65,,59,69,63,3305.65,,59,69,4,3305.65,
