CPUID:,0x1067A
Processor:,Intel Pentium Dual-Core E5200 (Wolfdale-2M) 
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,10:37:08 - April 07 - 2016

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
10:37:18 04/07/16,72,68,,,69,76,42,2399.34,,65,74,36,2399.34,
10:37:28 04/07/16,77,73,,,69,77,84,2399.34,,65,74,75,2399.34,
10:37:38 04/07/16,81,76,,,69,81,94,2399.34,,65,76,92,2399.34,
10:37:48 04/07/16,75,71,,,69,81,40,2399.34,,65,76,31,2399.34,
10:37:58 04/07/16,75,70,,,69,81,31,2399.34,,65,76,32,2399.34,
10:38:08 04/07/16,74,70,,,69,81,42,2399.34,,65,76,37,2399.34,
10:38:18 04/07/16,74,71,,,69,81,27,2399.34,,65,76,26,2399.34,
10:38:28 04/07/16,77,73,,,69,81,45,2399.34,,65,76,37,2399.34,
10:38:38 04/07/16,78,75,,,69,81,46,2399.34,,65,76,58,2399.34,
10:38:48 04/07/16,78,74,,,69,81,52,2399.34,,65,76,49,2399.34,
10:38:58 04/07/16,75,71,,,69,81,51,2399.34,,65,76,46,2399.34,
10:39:08 04/07/16,75,71,,,69,81,32,2399.34,,65,76,29,2399.34,
10:39:18 04/07/16,75,71,,,69,81,42,2399.34,,65,76,46,2399.34,
10:39:28 04/07/16,75,72,,,69,81,38,2399.34,,65,76,32,2399.34,
10:39:39 04/07/16,77,73,,,69,81,40,2399.34,,65,77,46,2399.34,
10:39:49 04/07/16,78,75,,,69,81,54,2399.34,,65,77,51,2399.34,
10:39:59 04/07/16,80,76,,,69,81,56,2399.34,,65,77,47,2299.37,
10:40:09 04/07/16,81,77,,,69,81,56,2399.34,,65,77,49,2399.34,
10:40:19 04/07/16,76,72,,,69,81,37,2399.34,,65,77,31,2399.34,
10:40:29 04/07/16,77,73,,,69,81,46,2399.34,,65,77,48,2399.34,
10:40:39 04/07/16,77,73,,,69,81,46,2399.34,,65,78,37,2399.34,
10:40:49 04/07/16,76,73,,,69,81,38,2399.34,,65,78,32,2399.34,
10:40:59 04/07/16,79,76,,,69,83,23,2399.34,,65,78,33,2299.37,
10:41:09 04/07/16,78,74,,,69,83,42,2399.34,,65,78,44,2299.37,
10:41:19 04/07/16,78,74,,,69,83,51,2399.34,,65,78,48,2299.37,
10:41:29 04/07/16,66,64,,,66,83,7,1499.59,,64,78,9,1299.65,
10:41:39 04/07/16,84,77,,,66,84,90,2499.32,,64,78,83,2499.32,
10:41:49 04/07/16,73,71,,,66,84,39,2099.43,,64,78,31,2099.43,
10:41:59 04/07/16,70,66,,,66,84,56,2399.34,,64,78,1,1899.48,
10:42:09 04/07/16,80,75,,,66,84,98,2499.32,,64,78,66,2499.32,
10:42:19 04/07/16,87,82,,,66,87,97,2499.32,,64,82,59,2499.32,
10:42:29 04/07/16,92,86,,,66,92,92,2499.32,,64,86,49,2499.32,
10:42:39 04/07/16,94,90,,,66,94,98,2499.32,,64,90,66,2499.32,
10:42:49 04/07/16,96,91,,,66,96,100,2499.32,,64,91,49,2499.32,
10:42:59 04/07/16,99,94,,,66,99,98,2499.32,,64,94,50,2499.32,
10:43:09 04/07/16,99,94,,,66,99,98,2399.34,,64,95,53,2399.34,
10:43:19 04/07/16,99,94,,,66,99,97,2299.37,,64,95,57,2299.37,
10:43:29 04/07/16,99,94,,,66,99,100,2199.40,,64,95,39,2299.37,
