        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-02-27 08:27:24 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:25 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:27 ,              776.3   ,                800.0   ,               44.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0750   ,
2016-02-27 08:27:27 ,              776.3   ,                800.0   ,               45.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0750   ,
2016-02-27 08:27:28 ,              776.3   ,                800.0   ,               46.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 1.0750   ,
2016-02-27 08:27:29 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:30 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:31 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:32 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:33 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
2016-02-27 08:27:34 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                         0   ,               0   , 0.0000   ,
